59.868	61.742	60.690	59.581	56.578	57.791
61.490	63.330	62.444	59.706	59.957	56.908
62.047	63.143	63.261	61.664	61.078	57.814
61.333	64.117	62.834	61.956	60.327	59.377
63.773	63.680	64.338	62.759	60.603	60.742
62.363	64.611	64.303	59.368	61.744	60.659
62.026	64.398	62.183	61.437	60.890	54.307
64.037	64.489	64.958	61.062	60.357	61.097
62.174	63.692	63.536	61.775	60.627	60.479
63.722	64.667	64.593	63.211	61.016	62.302
60.428	61.446	61.039	58.615	59.548	57.710
61.804	62.868	62.204	59.927	60.188	58.440
62.246	62.848	63.075	61.672	59.774	59.022
62.364	64.171	63.078	60.910	59.773	59.453
63.589	64.239	64.561	62.847	61.462	61.639
63.520	64.051	63.407	60.870	60.871	55.785
63.271	63.745	62.239	63.103	60.222	59.818
64.021	64.964	64.346	64.260	60.861	60.016
63.574	64.589	64.897	62.112	60.495	60.699
